station,day,max_temp_f
IIB,01.01.22,14.7
IIB,02.01.22,8.6
IIB,03.01.22,24.4
IIB,04.01.22,33.8
IIB,05.01.22,21.6
IIB,06.01.22,1.4
IIB,07.01.22,8.6
IIB,08.01.22,30.9
IIB,09.01.22,24.6
IIB,10.01.22,14
IIB,11.01.22,39.4
IIB,12.01.22,41.9
IIB,13.01.22,43
IIB,14.01.22,34.9
IIB,15.01.22,18.5
IIB,16.01.22,28.9
IIB,17.01.22,29.1
IIB,18.01.22,38.3
IIB,19.01.22,21
IIB,20.01.22,4.3
IIB,21.01.22,15.6
IIB,22.01.22,24.4
IIB,23.01.22,19.4
IIB,24.01.22,26.1
IIB,25.01.22,4.1
IIB,26.01.22,17.6
IIB,27.01.22,35.2
IIB,28.01.22,14.9
IIB,29.01.22,29.8
IIB,30.01.22,24.8
IIB,31.01.22,55
IIB,01.02.22,37.9
IIB,02.02.22,12.9
IIB,03.02.22,11.5
IIB,04.02.22,16
IIB,05.02.22,28.4
IIB,06.02.22,36.7
IIB,07.02.22,22.6
IIB,08.02.22,41.5
IIB,09.02.22,39.4
IIB,10.02.22,38.7
IIB,11.02.22,39.9
IIB,12.02.22,13.8
IIB,13.02.22,12.2
IIB,14.02.22,28.2
IIB,15.02.22,41.5
IIB,16.02.22,43.7
IIB,17.02.22,27.5
IIB,18.02.22,44.1
IIB,19.02.22,25.5
IIB,20.02.22,56.3
IIB,21.02.22,39
IIB,22.02.22,30.2
IIB,23.02.22,18.7
IIB,24.02.22,23.9
IIB,25.02.22,23.7
IIB,26.02.22,35.8
IIB,27.02.22,40.3
IIB,28.02.22,55
IIB,01.03.22,55.9
IIB,02.03.22,57.9
IIB,03.03.22,33.8
IIB,04.03.22,44.6
IIB,05.03.22,59.4
IIB,06.03.22,37.2
IIB,07.03.22,32.4
IIB,08.03.22,38.7
IIB,09.03.22,32
IIB,10.03.22,25
IIB,11.03.22,26.8
IIB,12.03.22,28.8
IIB,13.03.22,55.8
IIB,14.03.22,59.9
IIB,15.03.22,58.1
IIB,16.03.22,70
IIB,17.03.22,47.8
IIB,18.03.22,41
IIB,19.03.22,52
IIB,20.03.22,64.6
IIB,21.03.22,72
IIB,22.03.22,55.9
IIB,23.03.22,50.2
IIB,24.03.22,38.8
IIB,25.03.22,44.8
IIB,26.03.22,35.1
IIB,27.03.22,34.3
IIB,28.03.22,41.5
IIB,29.03.22,38.5
IIB,30.03.22,46.8
IIB,31.03.22,65.1
IIB,01.04.22,46.4
IIB,02.04.22,52
IIB,03.04.22,45.1
IIB,04.04.22,48
IIB,05.04.22,49.1
IIB,06.04.22,45.5
IIB,07.04.22,43
IIB,08.04.22,41
IIB,09.04.22,53.6
IIB,10.04.22,68
IIB,11.04.22,63
IIB,12.04.22,67.3
IIB,13.04.22,67.5
IIB,14.04.22,44.6
IIB,15.04.22,41.5
IIB,16.04.22,43
IIB,17.04.22,44.2
IIB,18.04.22,41
IIB,19.04.22,45.7
IIB,20.04.22,49.6
IIB,21.04.22,64.6
IIB,22.04.22,58.1
IIB,23.04.22,73.4
IIB,24.04.22,59
IIB,25.04.22,44.6
IIB,26.04.22,50
IIB,27.04.22,53.8
IIB,28.04.22,56.8
IIB,29.04.22,58.1
IIB,30.04.22,66.2
IIB,01.05.22,48.7
IIB,02.05.22,52.3
IIB,03.05.22,50.9
IIB,04.05.22,60.8
IIB,05.05.22,59.2
IIB,06.05.22,65.3
IIB,07.05.22,70.2
IIB,08.05.22,63.3
IIB,09.05.22,87.4
IIB,10.05.22,89.2
IIB,11.05.22,90.7
IIB,12.05.22,93
IIB,13.05.22,79.2
IIB,14.05.22,86.2
IIB,15.05.22,73.6
IIB,16.05.22,77.7
IIB,17.05.22,68
IIB,18.05.22,73.2
IIB,19.05.22,87.8
IIB,20.05.22,72.5
IIB,21.05.22,59.7
IIB,22.05.22,61
IIB,23.05.22,63
IIB,24.05.22,62.2
IIB,25.05.22,66.2
IIB,26.05.22,66.9
IIB,27.05.22,72.7
IIB,28.05.22,80.4
IIB,29.05.22,82.8
IIB,30.05.22,87.8
IIB,31.05.22,79.7
IIB,01.06.22,71.8
IIB,02.06.22,77.9
IIB,03.06.22,77
IIB,04.06.22,69.4
IIB,05.06.22,79.2
IIB,06.06.22,71.8
IIB,07.06.22,78.4
IIB,08.06.22,73.8
IIB,09.06.22,78.4
IIB,10.06.22,71.8
IIB,11.06.22,73.8
IIB,12.06.22,83.1
IIB,13.06.22,88.9
IIB,14.06.22,95.9
IIB,15.06.22,87.8
IIB,16.06.22,87.1
IIB,17.06.22,82.6
IIB,18.06.22,81
IIB,19.06.22,86.4
IIB,20.06.22,91.8
IIB,21.06.22,93.4
IIB,22.06.22,84.2
IIB,23.06.22,88.7
IIB,24.06.22,84.4
IIB,25.06.22,78.4
IIB,26.06.22,72.5
IIB,27.06.22,78.4
IIB,28.06.22,81.1
IIB,29.06.22,86.7
IIB,30.06.22,86.5
IIB,01.07.22,78.8
IIB,02.07.22,83.7
IIB,03.07.22,84
IIB,04.07.22,87.8
IIB,05.07.22,90.9
IIB,06.07.22,82.6
IIB,07.07.22,84
IIB,08.07.22,79.2
IIB,09.07.22,81.3
IIB,10.07.22,81.9
