Year,El Niño,Temperature (°C),Precipitation (mm),Pressure (mb)
1951,1,26.1,43,1009.5
1952,0,24.5,10,1010.9
1953,1,24.8,4,1010.7
1954,0,24.5,0,1011.2
1955,0,24.1,2,1011.9
1956,0,24.3,Missing,1011.2
1957,1,26.4,31,1009.3
1958,0,24.9,0,1011.1
1959,0,23.7,0,1012
1960,0,23.5,0,1011.4
1961,0,24,2,1010.9
1962,0,24.1,3,1011.5
1963,0,23.7,0,1011
1964,0,24.3,4,1011.2
1965,1,26.6,15,1009.9
1966,0,24.6,2,1012.5
1967,0,24.8,0,1011.1
1968,0,24.4,1,1011.8
1969,1,26.8,127,1009.3
1970,0,25.2,2,1010.6
