,T,P1,P2,runoff
1/1/1931,3.6,1.6,1,3.91
1/2/1931,3.6,2.8,3.8,4.01
1/3/1931,5.4,0,0.1,3.91
1/4/1931,3.9,13.1,10.8,4.92
1/5/1931,0.5,0,0,4.67
1/6/1931,-3.6,0,0,3.91
1/7/1931,-4.4,0,0,3.3
1/8/1931,-3.8,0,0,3.14
1/9/1931,-4.8,0,0,3.14
1/10/1931,-6.9,0,0,3.14
1/11/1931,-7.9,0,0,2.97
1/12/1931,-7.1,0,0,2.97
1/13/1931,-3.3,0,0,2.97
1/14/1931,-2.3,0.9,0.3,2.97
1/15/1931,-1.7,0,0,2.97
1/16/1931,-0.7,11.3,2.5,2.72
1/17/1931,3,9.9,23.5,3.06
1/18/1931,0.5,5.2,11.2,2.81
1/19/1931,2.2,9.5,8,2.89
1/20/1931,4,0.3,0.3,3.3
1/21/1931,4,0,0,3.14
1/22/1931,-1,0,0,2.89
1/23/1931,3.3,0.4,0,2.89
1/24/1931,5.3,9.6,7.5,3.06
1/25/1931,2.7,5.9,6.7,3.5
1/26/1931,0.4,11.2,16,3.14
1/27/1931,1.9,3,2.9,2.97
1/28/1931,-1.7,13.5,11.3,2.81
1/29/1931,2,1.8,4.3,2.89
1/30/1931,0,0.8,2.8,2.81
1/31/1931,-1.5,0,0,2.64
2/1/1931,-2.5,1.6,0.7,2.56
2/2/1931,0.3,0,0,2.64
2/3/1931,0.3,0,0,2.56
2/4/1931,0.4,3.5,4,2.64
2/5/1931,-3.2,1.6,0.3,2.56
2/6/1931,-6.1,0,0,2.56
2/7/1931,-6.8,0.2,0.5,2.35
2/8/1931,-6.1,0,0,2.48
2/9/1931,-5.2,0,0,2.48
2/10/1931,0.1,2.7,2.2,2.35
2/11/1931,1.1,2.2,1.5,2.48
2/12/1931,1.5,5.5,6.1,2.48
2/13/1931,1,4.9,7.2,2.42
2/14/1931,-1.5,5.7,1.5,2.48
2/15/1931,-2.7,0.2,0,2.35
2/16/1931,-2.4,5.5,2.5,2.35
2/17/1931,-1,9.5,11.4,2.42
2/18/1931,-2.4,0,0,2.42
2/19/1931,-1.7,8.4,13.6,2.35
2/20/1931,-0.6,7.2,30.7,2.35
2/21/1931,0,5.6,6.5,2.29
2/22/1931,-0.6,6.9,2.4,2.35
2/23/1931,-1.5,0,0,2.42
2/24/1931,-3.3,0,0,2.29
2/25/1931,-1,0,2,2.23
2/26/1931,2.7,9.3,6.9,2.35
2/27/1931,3,5.3,2,2.81
2/28/1931,3.7,13.3,9.1,2.97
3/1/1931,-0.2,5.2,9.9,3.6
3/2/1931,-2.7,0.1,2,2.97
3/3/1931,-0.4,12.3,9,2.81
3/4/1931,3.3,61.6,47,4.43
3/5/1931,0.1,6,2.5,9.27
3/6/1931,1.5,9.6,3.6,6.37
3/7/1931,1.5,6.6,5.5,5.52
3/8/1931,-0.8,9.8,3.2,5.28
3/9/1931,-2.3,14,4.3,5.04
3/10/1931,-3.4,17.2,12.7,4.31
3/11/1931,-6.2,0,0,4.01
3/12/1931,-4.7,0,0,3.6
3/13/1931,-3.8,0,0,3.7
3/14/1931,1.2,0,0,3.4
3/15/1931,0.4,0,0,3.4
3/16/1931,0.4,0,0,3.7
3/17/1931,1.2,0,0,4.01
3/18/1931,3.1,0,0,4.67
3/19/1931,4.6,0,0,5.28
3/20/1931,7.4,0,0,6.79
3/21/1931,5.9,0.3,0,9.63
3/22/1931,4.2,1.2,0.9,9.27
3/23/1931,5.5,0,0,8.72
3/24/1931,6.7,0,0,9.45
3/25/1931,5.8,0,0,10.4
3/26/1931,3.3,0,0,10.4
3/27/1931,4.2,0,0,10.6
3/28/1931,7.2,0,0,10.8
3/29/1931,3.8,0,0,10.6
3/30/1931,3.2,0,0,10.2
3/31/1931,1.7,0,0,9.63
4/1/1931,2.2,0,0,9.08
4/2/1931,6.7,0.3,0,8.9
4/3/1931,8.6,0.5,5.5,8.54
4/4/1931,6.8,3.7,9.5,9.27
4/5/1931,6,0,0,10.2
4/6/1931,7.9,0.3,0,9.99
4/7/1931,8.9,0.5,0.7,10.6
4/8/1931,8.7,0,0,13
4/9/1931,9,0,0,14
4/10/1931,11.1,0,0,14.8
4/11/1931,10.2,0,0,16.1
4/12/1931,10.7,0,0,16.6
4/13/1931,10.5,0,0,18.2
4/14/1931,7.7,0,0,17.1
4/15/1931,7.6,1.5,1,14.8
4/16/1931,4.6,8.6,8.6,13.3
4/17/1931,5.9,3.4,2.8,12
4/18/1931,3.4,0.7,0,11
